Iteration,Total Iterations,IP,Device Type,Download,Upload,Idle Latency,Download Latency,Upload Latency
1,1,192.168.204.54,Android,N/A,N/A,N/A,N/A,N/A
1,1,192.168.204.69,Android,N/A,N/A,N/A,N/A,N/A
