Iteration,Total Iterations,IP,Device Type,Download,Upload,Idle Latency,Download Latency,Upload Latency
1,1,192.168.204.54,Android,18.5 Mbps,32.5 Mbps,11 ms,243 ms,180 ms
1,1,192.168.204.66,Android,16.8 Mbps,24.4 Mbps,119 ms,258 ms,183 ms
