Iteration,Total Iterations,IP,Device Type,Download,Upload,Idle Latency,Download Latency,Upload Latency
1,1,192.168.204.66,Android,19.8 Mbps,25.1 Mbps,10 ms,96 ms,1159 ms
1,1,192.168.204.54,Android,18.5 Mbps,32.5 Mbps,11 ms,243 ms,180 ms
